file_name,class_name,method_name,comments,attributes
['intents'],"['intents', 'scan', 'encode', 'searchbookcontents', 'wificonnect', 'share', 'search', 'book', 'contents', 'wifi', 'connect']","['intents', 'scan', 'encode', 'searchbookcontents', 'wificonnect', 'share', 'search', 'book', 'contents', 'wifi', 'connect']","['provides', 'constants', 'use', 'sending', 'intent', 'barcode', 'scanner', 'strings', 'effectively', 'api', 'cannot', 'changed', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'send', 'intent', 'open', 'barcodes', 'app', 'scanning', 'mode', 'find', 'barcode', 'results', 'sending', 'scan', 'action', 'decode', 'barcodes', 'understand', 'however', 'may', 'useful', 'limit', 'scanning', 'certain', 'formats', 'use', 'intent', 'putextra', 'mode', 'value', 'one', 'values', 'link', 'link', 'link', 'optional', 'setting', 'effectively', 'shorthnad', 'setting', 'explicit', 'formats', 'link', 'overridden', 'setting', 'comma', 'separated', 'list', 'formats', 'scan', 'values', 'must', 'match', 'names', 'link', 'com', 'google', 'zxing', 'barcodeformat', 'link', 'com', 'google', 'zxing', 'barcodeformat', 'example', 'overrides', 'link', 'mode', 'see', 'com', 'google', 'zxing', 'decodehinttype', 'decode', 'upc', 'ean', 'barcodes', 'right', 'choice', 'shopping', 'apps', 'get', 'prices', 'reviews', 'etc', 'products', 'decode', 'barcodes', 'currently', 'upc', 'ean', 'code', 'code', 'decode', 'qr', 'codes', 'decode', 'data', 'matrix', 'codes', 'barcode', 'found', 'barcodes', 'returns', 'onactivityresult', 'app', 'requested', 'scan', 'via', 'startsubactivity', 'barcodes', 'contents', 'retrieved', 'intent', 'getstringextra', 'result', 'user', 'presses', 'back', 'result', 'code', 'call', 'intent', 'getstringextra', 'determine', 'barcode', 'format', 'found', 'see', 'contents', 'format', 'possible', 'values', 'setting', 'save', 'scanned', 'codes', 'history', 'send', 'intent', 'encode', 'piece', 'data', 'qr', 'code', 'display', 'full', 'screen', 'another', 'person', 'scan', 'barcode', 'screen', 'data', 'encode', 'use', 'intent', 'putextra', 'data', 'data', 'data', 'either', 'string', 'bundle', 'depending', 'type', 'format', 'specified', 'non', 'qr', 'code', 'formats', 'use', 'string', 'qr', 'code', 'see', 'contents', 'details', 'type', 'data', 'supplied', 'format', 'qr', 'code', 'use', 'intent', 'putextra', 'type', 'type', 'one', 'contents', 'type', 'barcode', 'format', 'displayed', 'specified', 'blank', 'defaults', 'qr', 'code', 'use', 'intent', 'putextra', 'format', 'format', 'format', 'one', 'contents', 'format', 'use', 'google', 'book', 'search', 'search', 'contents', 'book', 'provided', 'book', 'search', 'identified', 'isbn', 'number', 'optional', 'field', 'text', 'search', 'internal', 'intent', 'used', 'trigger', 'connection', 'wi', 'fi', 'network', 'network', 'connect', 'configuration', 'provided', 'network', 'connect', 'configuration', 'provided', 'network', 'connect', 'configuration', 'provided', 'give', 'user', 'choice', 'items', 'encode', 'barcode', 'render', 'qr', 'code', 'display', 'onscreen', 'friend', 'scan', 'phone', 'put', 'extra', 'product', 'mode', 'one', 'mode', 'qr', 'code', 'mode', 'scan', 'formats', 'barcode', 'format', 'barcode', 'format', 'ean', 'ean', 'ean', 'qr', 'code', 'decode', 'hint', 'type', 'character', 'set', 'result', 'ok', 'activity', 'result', 'start', 'sub', 'activity', 'get', 'string', 'extra', 'result', 'canceled', 'get', 'string', 'extra', 'result', 'format', 'put', 'extra', 'put', 'extra', 'put', 'extra']","['action', 'mode', 'result', 'action', 'data', 'type', 'format', 'action', 'isbn', 'query', 'action', 'ssid', 'type', 'password', 'action', 'scan', 'formats', 'character', 'set', 'product', 'mode', 'one', 'mode', 'qr', 'code', 'mode', 'data', 'matrix', 'mode', 'result', 'format', 'save', 'history']"
"['localemanager', 'locale', 'manager']","['localemanager', 'locale', 'manager']","['localemanager', 'getcountrytld', 'getproductsearchcountrytld', 'getbooksearchcountrytld', 'dogettld', 'locale', 'manager', 'get', 'country', 'tld', 'get', 'product', 'search', 'country', 'tld', 'get', 'book', 'search', 'country', 'tld', 'get', 'tld']","['handles', 'locale', 'specific', 'logic', 'client', 'author', 'sean', 'owen', 'google', 'product', 'search', 'mobile', 'available', 'fewer', 'countries', 'web', 'search', 'country', 'specific', 'tld', 'suffix', 'appropriate', 'current', 'locale', 'co', 'uk', 'united', 'kingdom', 'specifically', 'google', 'product', 'search', 'top', 'level', 'domain', 'use', 'specifically', 'google', 'book', 'search', 'top', 'level', 'domain', 'use']","['tld', 'google', 'country', 'tld', 'google', 'product', 'search', 'country', 'tld', 'google', 'book', 'search', 'country', 'tld']"
"['planaryuvluminancesource', 'planar', 'yuv', 'luminance', 'source']","['planaryuvluminancesource', 'planar', 'yuv', 'luminance', 'source']","['planaryuvluminancesource', 'getrow', 'getmatrix', 'iscropsupported', 'getdatawidth', 'getdataheight', 'rendercroppedgreyscalebitmap', 'planar', 'yuv', 'luminance', 'source', 'get', 'row', 'get', 'matrix', 'crop', 'supported', 'get', 'data', 'width', 'get', 'data', 'height', 'render', 'cropped', 'greyscale', 'bitmap']","['object', 'luminancesource', 'around', 'array', 'yuv', 'data', 'returned', 'camera', 'driver', 'option', 'crop', 'rectangle', 'within', 'full', 'data', 'used', 'exclude', 'superfluous', 'pixels', 'around', 'perimeter', 'speed', 'decoding', 'works', 'pixel', 'format', 'channel', 'planar', 'appears', 'first', 'including', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'caller', 'asks', 'entire', 'underlying', 'image', 'save', 'copy', 'give', 'original', 'data', 'docs', 'specifically', 'warn', 'result', 'length', 'must', 'ignored', 'width', 'matches', 'full', 'width', 'underlying', 'data', 'perform', 'single', 'copy', 'otherwise', 'copy', 'one', 'cropped', 'row', 'time', 'luminance', 'source', 'ycbcr', 'cb', 'cr', 'sp', 'ycbcr', 'cb', 'cr', 'sp']","['yuvdata', 'datawidth', 'dataheight', 'left', 'top', 'yuv', 'data', 'data', 'width', 'data', 'height']"
"['preferencesactivity', 'preferences', 'activity']","['preferencesactivity', 'preferences', 'activity']","['oncreate', 'onsharedpreferencechanged', 'disablelastcheckedpref', 'create', 'shared', 'preference', 'changed', 'disable', 'last', 'checked', 'pref']","['main', 'settings', 'activity', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin']","['decoded', 'decodeqr', 'decodedatamatrix', 'key', 'decode', 'key', 'decode', 'qr', 'key', 'decode', 'data', 'matrix', 'key', 'custom', 'product', 'search', 'key', 'play', 'beep', 'key', 'vibrate', 'key', 'copy', 'clipboard', 'key', 'front', 'light', 'key', 'bulk', 'mode', 'key', 'help', 'version', 'shown', 'key', 'results', 'shown', 'decode', 'decode', 'qr', 'decode', 'data', 'matrix']"
"['viewfinderresultpointcallback', 'viewfinder', 'result', 'point', 'callback']","['viewfinderresultpointcallback', 'viewfinder', 'result', 'point', 'callback']","['foundpossibleresultpoint', 'found', 'possible', 'result', 'point']",[],"['viewfinderview', 'viewfinder', 'view']"
"['viewfinderview', 'viewfinder', 'view']","['viewfinderview', 'viewfinder', 'view']","['viewfinderview', 'ondraw', 'drawviewfinder', 'drawresultbitmap', 'addpossibleresultpoint', 'viewfinder', 'view', 'draw', 'draw', 'viewfinder', 'draw', 'result', 'bitmap', 'add', 'possible', 'result', 'point']","['view', 'overlaid', 'top', 'camera', 'preview', 'adds', 'viewfinder', 'rectangle', 'partial', 'transparency', 'outside', 'well', 'laser', 'scanner', 'animation', 'result', 'points', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'constructor', 'used', 'built', 'xml', 'resource', 'initialize', 'performance', 'rather', 'calling', 'every', 'time', 'ondraw', 'draw', 'exterior', 'outside', 'framing', 'rect', 'darkened', 'draw', 'opaque', 'result', 'bitmap', 'scanning', 'rectangle', 'draw', 'two', 'pixel', 'solid', 'black', 'border', 'inside', 'framing', 'rect', 'draw', 'red', 'laser', 'scanner', 'line', 'middle', 'show', 'decoding', 'active', 'request', 'another', 'update', 'animation', 'interval', 'repaint', 'laser', 'line', 'entire', 'viewfinder', 'mask', 'draw', 'bitmap', 'result', 'points', 'highlighted', 'instead', 'live', 'scanning', 'display', 'param', 'barcode', 'image', 'decoded', 'barcode', 'draw']","['opaque', 'paint', 'resultbitmap', 'maskcolor', 'resultcolor', 'framecolor', 'lasercolor', 'resultpointcolor', 'scanneralpha', 'possibleresultpoints', 'lastpossibleresultpoints', 'scanner', 'alpha', 'animation', 'delay', 'result', 'bitmap', 'mask', 'color', 'result', 'color', 'frame', 'color', 'laser', 'color', 'result', 'point', 'color', 'scanner', 'alpha', 'possible', 'result', 'points', 'last', 'possible', 'result', 'points']"
"['browsebooklistener', 'browse', 'book', 'listener']","['browsebooklistener', 'browse', 'book', 'listener']","['onitemclick', 'item', 'click']","['hack', 'jbreiden', 'idea', 'heck', 'pageid', 'one', 'error', 'coming', 'put', 'position', 'kludge', 'page', 'id']","['activity', 'items']"
"['searchbookcontentsactivity', 'search', 'book', 'contents', 'activity']","['searchbookcontentsactivity', 'networkthread', 'search', 'book', 'contents', 'activity', 'network', 'thread']","['handlemessage', 'onclick', 'onkey', 'getisbn', 'oncreate', 'onresume', 'onconfigurationchanged', 'resetfornewquery', 'launchsearch', 'handlesearchresults', 'parseresult', 'run', 'getcookie', 'getencoding', 'handle', 'message', 'click', 'key', 'get', 'isbn', 'create', 'resume', 'configuration', 'changed', 'reset', 'query', 'launch', 'search', 'handle', 'search', 'results', 'parse', 'result', 'get', 'cookie', 'get', 'encoding']","['uses', 'google', 'book', 'search', 'find', 'word', 'phrase', 'requested', 'book', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'make', 'sure', 'expired', 'cookies', 'removed', 'launch', 'populate', 'search', 'box', 'trigger', 'search', 'nothing', 'prevent', 'activity', 'restarted', 'keyboard', 'opens', 'currently', 'way', 'distinguish', 'query', 'results', 'book', 'searchable', 'zero', 'results', 'available', 'fields', 'happen', 'text', 'jacket', 'possibly', 'reasons', 'remove', 'html', 'tags', 'encoded', 'characters', 'ideally', 'server', 'would', 'never', 'seen', 'wild', 'complete', 'json', 'result', 'describes', 'query', 'found', 'api', 'may', 'disappear', 'time', 'future', 'since', 'api', 'call', 'rather', 'website', 'use', 'localemanager', 'change', 'tld', 'book', 'search', 'requires', 'cookie', 'work', 'store', 'persistently', 'cookie', 'exist', 'could', 'first', 'search', 'expired', 'either', 'way', 'quick', 'head', 'request', 'fetch', 'save', 'via', 'cookiesyncmanager', 'flash', 'fixme', 'server', 'returning', 'iso', 'content', 'actually', 'windows', 'jeff', 'fixes', 'http', 'response', 'remove', 'hardcoded', 'value', 'go', 'back', 'getting', 'encoding', 'dynamically', 'headerelement', 'elements', 'entity', 'getcontenttype', 'getelements', 'elements', 'elements', 'length', 'string', 'encoding', 'elements', 'getparameterbyname', 'charset', 'getvalue', 'encoding', 'encoding', 'length', 'encoding', 'utf', 'page', 'id', 'page', 'number', 'page', 'url', 'snippet', 'text', 'locale', 'manager', 'cookie', 'sync', 'manager', 'header', 'element', 'get', 'content', 'type', 'get', 'elements', 'get', 'parameter', 'name', 'get', 'value']","['tag', 'networkthread', 'isbn', 'querytextview', 'querybutton', 'resultlistview', 'headerview', 'handler', 'buttonlistener', 'keylistener', 'isbn', 'query', 'handler', 'user', 'agent', 'tag', 'pattern', 'lt', 'entity', 'pattern', 'gt', 'entity', 'pattern', 'quote', 'entity', 'pattern', 'quot', 'entity', 'pattern', 'network', 'thread', 'query', 'text', 'view', 'query', 'button', 'result', 'list', 'view', 'header', 'view', 'button', 'listener', 'key', 'listener']"
"['searchbookcontentsadapter', 'search', 'book', 'contents', 'adapter']","['searchbookcontentsadapter', 'search', 'book', 'contents', 'adapter']","['getview', 'get', 'view']","['manufactures', 'list', 'items', 'represent', 'sbc', 'results', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin']",[]
"['searchbookcontentslistitem', 'search', 'book', 'contents', 'list', 'item']","['searchbookcontentslistitem', 'search', 'book', 'contents', 'list', 'item']","['searchbookcontentslistitem', 'onfinishinflate', 'set', 'search', 'book', 'contents', 'list', 'item', 'finish', 'inflate']","['list', 'item', 'displays', 'page', 'number', 'snippet', 'search', 'result', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin', 'may', 'error', 'message', 'bold', 'query', 'terms', 'within']","['pagenumberview', 'snippetview', 'page', 'number', 'view', 'snippet', 'view']"
"['searchbookcontentsresult', 'search', 'book', 'contents', 'result']","['searchbookcontentsresult', 'search', 'book', 'contents', 'result']","['setquery', 'getpageid', 'getpagenumber', 'getsnippet', 'getvalidsnippet', 'getquery', 'set', 'query', 'get', 'page', 'id', 'get', 'page', 'number', 'get', 'snippet', 'get', 'valid', 'snippet', 'get', 'query']","['underlying', 'data', 'sbc', 'result', 'author', 'dswitkin', 'google', 'com', 'daniel', 'switkin']","['query', 'pageid', 'pagenumber', 'snippet', 'validsnippet', 'page', 'id', 'page', 'number', 'valid', 'snippet']"
"['autofocuscallback', 'auto', 'focus', 'callback']","['autofocuscallback', 'auto', 'focus', 'callback']","['sethandler', 'onautofocus', 'set', 'handler', 'auto', 'focus']","['simulate', 'continuous', 'autofocus', 'sending', 'focus', 'request', 'every', 'milliseconds', 'log', 'tag', 'got', 'auto', 'focus', 'callback', 'requesting', 'another', 'autofocus', 'interval', 'ms']","['tag', 'autofocushandler', 'autofocusmessage', 'autofocus', 'interval', 'ms', 'auto', 'focus', 'handler', 'auto', 'focus', 'message']"
